description;name;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
EF38;Stay - Clamp 10 x 12mm;9.19;6.6;10.5685;7.59;POLE;efe
EF39;Stay Lug - 6 x 35mm;6.82;4.9;7.843;5.635;POLE;efe
EF39-2;Stay Lug - 6 x 70mm 10mm Stay;21.58;15.5;24.817;17.825;POLE;efe
;ELECTRIC FENCE FREESTANDING POLES & BRACKETS;;;0;0;POLE;efe
EF47-5;Omega Bracket 1.8m Pre-Galvanised;97.61;66;112.2515;75.9;POLE;efe
EF47-6;Omega Bracket 2.4m Pre-Galvanised;116.84;79;134.366;90.85;POLE;efe
EF47-7;Omega Bracket 3.0m Pre-Galvanised;146.42;99;168.383;113.85;POLE;efe
EF47-4-1;Omega Bracket 1.5m Hot Dipped Galv 1mm;113.9;77;130.985;88.55;POLE;efe
EF47-5-1;Omega Bracket 1.8m Hot Dipped Galv 1mm;128.69;87;147.9935;100.05;POLE;efe
EF47-6-3;Omega Bracket 2.1m Hot Dipped Galv 1mm;137.56;93;158.194;106.95;POLE;efe
EF47-6-2;Omega Bracket 2.1m Hot Dipped Galv 2mm;279.54;189;321.471;217.35;POLE;efe
EF47-6-1;Omega Bracket 2.4m Hot Dipped Galv 1mm;155.31;105;178.6065;120.75;POLE;efe
EF47-13;Omega Bracket 2.4m Hot Dipped Galv 2mm;316.52;214;363.998;246.1;POLE;efe
EF47-7-1;Omega Bracket 3.0m Hot Dipped Galv 1mm;186.37;126;214.3255;144.9;POLE;efe
EF47-7-2;Omega Bracket 3.0m Hot Dipped Galv 2mm;372.72;252;428.628;289.8;POLE;efe
EF47-19;Free Standing Omega Spacer Wall and Tube;4.44;2.99;5.106;3.4385;POLE;efe
;;;;0;0;;efe
Prices are subject to change without prior notice.;;;;0;0;;efe
E&OE. Valid until 31st March 2023.;Page: 44;;;0;0;;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;efe
;;;;0;0;;efe
Trade Price List;;;;0;0;;efe
ELECTRIC FENCING;;;;0;0;;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;efe
;ELECTRIC FENCE ACCESSORIES;;;0;0;;efe
EF01-2;Earth Spike - Copper Incl Nuts-1.2m;74.2;51.9;85.33;59.685;WIRE;efe
EF01-3;Earth Spike - Galv. Incl Nust-1.2m;78.34;54.9;90.091;63.135;WIRE;efe
EF39-8;Earth Spike Lug Each;4.32;3.1;4.968;3.565;WIRE;efe
EF18;Ferrules - 6mm - 100;123.75;88.9;142.3125;102.235;WIRE;efe
EF18-1;Ferrules - 6mm 304 Stainless Steel - 50;93.04;62.9;106.996;72.335;WIRE;efe
EF18-2;Ferrules - 10mm Aluminium - 100;88.39;63.5;101.6485;73.025;WIRE;efe
EF18-3;Ferrules - 6mm Aluminium - 100;61.11;43.9;70.2765;50.485;WIRE;efe
EF18-4;Ferrules - 10mm Tinned Copper - 100;215.76;155;248.124;178.25;WIRE;efe
EF18-5;Ferrules - 10mm Soft Stainless Steel -50;115.22;77.9;132.503;89.585;WIRE;efe
EF18-6;Ferrules - 16mm Tinned Copper - 100;313.2;225;360.18;258.75;WIRE;efe
EF30;Line Clamps - Large 8mm U-Bolt;2.91;2.1;3.3465;2.415;WIRE;efe
EF31;Line Clamps - Small 6mm;2.09;1.5;2.4035;1.725;WIRE;efe
EF35;Spring Hook Stainless Large Tail - 50;67.9;47.5;78.085;54.625;WIRE;efe
EF41-2;Tensioner - Combo Black Bobbin;17.07;10.9;19.6305;12.535;WIRE;efe
EF41-6;Tensioner - Mini Nylon Black;5.54;3.6;6.371;4.14;WIRE;efe
EF41-7;Tensioner - Hybrid Comp Spring Standard;6.89;4.95;7.9235;5.6925;WIRE;efe
EF41-8;Tensioner - Combo Hybrid Black Big Boy;13.02;9.35;14.973;10.7525;WIRE;efe
EF42-6;Tensioner - Comp Spring SS Black - 50;205.32;147.5;236.118;169.625;WIRE;efe
EF42-7;Tensioner - Comp Spring SS White - 50;219.24;157.5;252.126;181.125;WIRE;efe
EF42-4;Tensioner - Spring Incl Limit - 50;240.5;162.5;276.575;186.875;WIRE;efe
EF42-8;Dual Action Tension Sensor Set 8Kg DATS;89.3;62.5;102.695;71.875;WIRE;efe
EF42-9;Dual Action Tension Sensor 15Kg DATS;127;88.9;146.05;102.235;WIRE;efe
EF41;Tensioner - Donald;11.07;7.95;12.7305;9.1425;WIRE;efe
;ELECTRIC FENCE - WIRE;;;0;0;WIRE;efe
EF44-1;Braided Wire - Galv 1.2mm - 5Kg Reel;474;320;545.1;368;WIRE;efe
EF44-9;Braided Wire - Galv 1.2mm - 22Kg Reel;1953;1320;2245.95;1518;WIRE;efe
EF44-3;Braided Wire - 316 1.2mm Stainless Steel;1907.91;1290;2194.0965;1483.5;WIRE;efe
EF44-6;Braided Wire - 304 1.2mm Stainless -800m;1323.71;895;1522.2665;1029.25;WIRE;efe
EF44-8;Braided Wire - 1.6mm Aluminium -1000m;730.8;525;840.42;603.75;WIRE;efe
EF44-4;Wire - Galvanised 2.24mm - 50Kg F-Galv;1842.9;1290;2119.335;1483.5;WIRE;efe
EF44-5;Wire - Aluminium 1.6mm x 1000m;1013.12;685;1165.088;787.75;WIRE;efe
EF44-11;Aluminium Wire - Stranded 1.6mm - 500m;384.54;260;442.221;299;WIRE;efe
EF44-14;Aluminium Stranded Wire 2.0mm 500m 4.2Kg;790.83;505;909.4545;580.75;WIRE;efe
EF44-15;Aluminium Solid Wire 2.0mm 500m 3.3Kg;900.45;575;1035.5175;661.25;WIRE;efe
EF45-4;Wire - Stainless 1mm 304 - 12.5Kg Reel;2063;1355;2372.45;1558.25;WIRE;efe
EF45-3;Wire - Stainless 1.2mm 316 - 7Kg Reel;1560.56;1025;1794.644;1178.75;WIRE;efe
EF45-5;Wire - Stainless 1.2mm 316 - 12.5Kg;2778.63;1825;3195.4245;2098.75;WIRE;efe
EF45-6;Wire - Stainless 2mm 495m 316 - 12.5Kg;2600;1820;2990;2093;WIRE;efe
EF68-4;Bracket - Bridging Wire 100mm HDG;1.42;0.95;1.633;1.0925;WIRE;efe
EF68-5;Bracket - Bridging Wire 200mm SS 316;2.35;1.6;2.7025;1.84;WIRE;efe
EF68-6;Bracket - Bridging Wire 100mm SS 316;2.22;1.5;2.553;1.725;WIRE;efe
TL95-1;Compact Heavy Wire Cutter 5mm;565;395;649.75;454.25;WIRE;efe
;;;;0;0;;efe
Prices are subject to change without prior notice.;;;;0;0;;efe
E&OE. Valid until 31st March 2023.;Page: 45;;;0;0;;efe
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;efe
;;;;0;0;;efe
Trade Price List;;;;0;0;;efe
ELECTRIC FENCING;;;;0;0;;efe
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;efe
;ELECTRIC FENCE - INSULATORS;;;0;0;;efe
EF22;Insulator - Strain Jumbo Black;1.99;1.34;2.2885;1.541;INSULATOR;efe
EF22-1;Insulator Porcelain Bobbin Lrg Fireproof;3.85;2.6;4.4275;2.99;INSULATOR;efe
EF22-2;Insulator - Tensioner Bobbin Large Blk;2.26;1.45;2.599;1.6675;INSULATOR;efe
EF22-4;Insulator - Strain Ultra Black;2.8;1.9;3.22;2.185;INSULATOR;efe
EF22-5;Insulator - Strain Ultra Hardened Black;5.18;3.5;5.957;4.025;INSULATOR;efe
EF23;Insulator - Strain Jumbo White;1.98;1.34;2.277;1.541;INSULATOR;efe
EF24;Insulator - Nailon Black;1.54;0.98;1.771;1.127;INSULATOR;efe
EF25;Insulator - Nailon White;1.61;1.03;1.8515;1.1845;INSULATOR;efe
EF26;Insulator - 10mm Black Round Bar;1.59;1.02;1.8285;1.173;INSULATOR;efe
EF27;Insulator - 10mm White Round Bar;1.59;1.02;1.8285;1.173;INSULATOR;efe
EF28;Insulator - Bobbin 4mm Black Flat Bar;1.53;0.98;1.7595;1.127;INSULATOR;efe
EF29;Insulator - Bobbin 4mm White Flat Bar;1.53;0.98;1.7595;1.127;INSULATOR;efe
EF26-5;Insulator - Popem Black Ultra;1.83;1.17;2.1045;1.3455;INSULATOR;efe
EF26-2;Insulator - Jurassic - Black 6.2mm;2.07;1.4;2.3805;1.61;INSULATOR;efe
EF26-3;Insulator - Jurassic - Black 6.2mm Slot;2.07;1.4;2.3805;1.61;INSULATOR;efe
EF27-1;Insulator - Jurassic White 6.2mm;2.07;1.4;2.3805;1.61;INSULATOR;efe
EF27-2;Insulator - Jurassic White 6.2mm Slot;2.07;1.4;2.3805;1.61;INSULATOR;efe
EF26-4;Screw - Jurassic - Self Tapper Hook;1.31;0.85;1.5065;0.9775;ACCESS;efe
EF26-8;Screw - Jurassic Self Tapper Hook Long;1.77;1.15;2.0355;1.3225;ACCESS;efe
EF26-9;Insulator - High Security Shield;1.89;1.28;2.1735;1.472;INSULATOR;efe
EF22-6;Insulator - Tensioner Bobbin - Omega PTL;3.91;2.49;4.4965;2.8635;INSULATOR;efe
EF47-1-1;Insulator - Omega with Clip - Black;1.9;1.28;2.185;1.472;INSULATOR;efe
;ELECTRIC FENCE ACCESSORIES;;;0;0;;efe
EF43-1;Warning Sign - Small Double Sided;13;8.9;14.95;10.235;WARNING;efe
EF43-2;Warning Sign - Electric Fence Large;11.2;7.25;12.88;8.3375;WARINING;efe
;Customised warning signs available on request;;;0;0;WARNING;efe
EF55;S-Hook - Free Standing Fence;5;2.85;5.75;3.2775;FREE;efe
EF55-1;S-Hook - Free Standing Fence 180Deg - HD;8.21;5.9;9.4415;6.785;FREE;efe
EF55-2;S-Hook - Free Standing Fence 90Deg - HDG;7.79;5.6;8.9585;6.44;FREE;efe
EF57-1;Double Pole Lightning Protection System;249.28;180;286.672;207;PROTECTION;efe
EF57-3;Lightning Dual Protection-Inhib-Divert;114.95;82.5;132.1925;94.875;PROTECTION;efe
EF57-5;Electric Fence Lightning Protection Kit;1990;1392.4;2288.5;1601.26;PROTECTION;efe
EF57-6;Electric Fence Lightning Protect Dual Ki;3349;2344;3851.35;2695.6;PROTECTION;efe
EF57-7;Electric Fence Lightning Protection Dual;3307.28;2315.09;3803.372;2662.3535;PROTECTION;efe
EF73-2;Electric Fence High Volt Light Galv Grey;138.5;99.5;159.275;114.425;PROTECTION;efe
EF73-3;Electric Fence High Volt Light SS Blue;139.3;97.5;160.195;112.125;PROTECTION;efe
EF73-4;Easy Fence Tester High Volt Light Timed;336.69;215;387.1935;247.25;TOOL;efe
TL03-4;Electric Fence - Multitool Fence Scope;1612.11;1090;1853.9265;1253.5;TOOL;efe
