regalCode;description;Retail Excl VAT;Trade Excl VAT;retail;trade;subcategory;category
LK487-1L;ZK BG1045L Parking Barrier 4.5m Boom Inc;23610.7;16157.27;27152.305;18580.8605;zk_boom;acc
LK487-1R;BG1045R Parking Barrier 4.5m Incl. UPS;23081.9;16157;26544.185;18580.55;zk_boom;acc
LK487-2L;ZK BG1145 LHS Parking Folding Barrier 3.;28946.9;19808.91;33288.935;22780.2465;zk_boom;acc
LK487-2R;BG1145 RHS Folding Barrier 3.5m UPS;28946.9;19808.91;33288.935;22780.2465;zk_boom;acc
;;;;0;0;;acc
Prices are subject to change without prior notice.;;;;0;0;;acc
E&OE. Valid until 31st March 2023.;Page: 59;;;0;0;;acc
www.REGALSECURITY.co.za;05-03-2023;;;0;0;;acc
;;;;0;0;;acc
Trade Price List;;;;0;0;;acc
ACCESS CONTROL;;;;0;0;;acc
Our Code;Item Description;Retail Excl VAT;Trade Excl VAT;#VALUE!;#VALUE!;;acc
;VIRDI BIOMETRIC SYSTEMS;;;0;0;;acc
LK343;UBioTab5 Biometrics Android Tablet;18700;12467;21505;14337.05;vi_reader;acc
LK345;KL100S Doorlock Standalone SC BT;5255;3504;6043.25;4029.6;vi_reader;acc
LK347-1;AC2000HRF FP Reader IP65 EM;9418;6279;10830.7;7220.85;vi_reader;acc
LK348;AC1100SC LCD BT;9942;6628;11433.3;7622.2;vi_reader;acc
LK349;AC2000SC FP Reader IP65 SC;8372;5582;9627.8;6419.3;vi_reader;acc
LK349-1;AC2000HSC FP Reader IP65 SC;9942;6628;11433.3;7622.2;vi_reader;acc
LK350-8;AC2100PSC Reader IP65 SC LCD;9157;6105;10530.55;7020.75;vi_reader;acc
LK350-9;AC2100PRF Reader IP65 EM LCD;8634;5756;9929.1;6619.4;vi_reader;acc
LK351-2;AC2200HRF FP Reader IP65 LCD BT;13343;8896;15344.45;10230.4;vi_reader;acc
LK350-7;AC2200HSC FP Reader IP65 LCD BT;13866;9244;15945.9;10630.6;vi_reader;acc
LK353-3;AC5100RF Reader LCD BT;17529;11686;20158.35;13438.9;vi_reader;acc
LK353-5;Virdi AC5000PIKRF Reader EM LCD BT IK09;15354;10236;17657.1;11771.4;vi_reader;acc
LK353-6;Virdi AC5000PIKSC Reader SC LCD BT IK09;15849;10566;18226.35;12150.9;vi_reader;acc
LK355;AC7000 Face Reader LCD EM-SC;19983;13322;22980.45;15320.3;vi_reader;acc
LK358;FMD10SC Reader SC RS485 BT;5994;3996;6893.1;4595.4;vi_reader;acc
LK365;FOH02RF FP-EM Enrolment Reader USB;5068;3379;5828.2;3885.85;vi_reader;acc
LK368;BLC015 Battery and Lock Controller;957;638;1100.55;733.7;vi_acc;acc
LK369;ACC420 Relay Timer 26Bit Weigand;550;367;632.5;422.05;vi_acc;acc
LK372;ACC210 Enclosure AC2100-5000 SS;1239;867;1424.85;997.05;vi_acc;acc
LK373;ACC200 Enclosure AC2x00 SS;897;598;1031.55;687.7;vi_acc;acc
LK374;ACC202 VR Enclosure for AC2x00 Series SS;2200;1467;2530;1687.05;vi_acc;acc
LK384;UNiS V4 Standard;3800;2534;4370;2914.1;vi_acc;acc
